dummy_id,term,stu_lvl,stu_type,college_1,deg_1,major_1_code,major_1,minor_1a,minor_1b,conc_1a,conc_1b,conc_1c,college_2,deg_2,major_2_code,major_2,minor_2a,minor_2b,conc_2a,conc_2b,conc_2c
42,201530,UG,C,BU,BS,ACC,Accounting,,,,,,BU,BS,ACC,Accounting,,,,,
5,201550,UG,C,PS,BS,MET,Mechanical Engineering Tech,MTH,,MET2,,,LA,BA,CHE,Chemistry,,,,,
26,201550,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,HIS,History,,,,,
31,201550,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
41,201550,UG,C,LA,BA,PSY,Psychology,,,,,,PS,BS,CJC,Criminal Justice & Criminology,,,,,
55,201550,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,MDL,Modern Languages,,,,,
66,201550,UG,C,PS,BS,HSP,Human Services,,,HSP8,,,LA,BA,HIS,History,,,,,
103,201550,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
181,201550,UG,H,PS,BA,HTE,"Hospitality, Tourism & Events",,,,,,PS,BA,HTE,"Hospitality, Tourism & Events",,,,,
8,201630,UG,C,LA,BM,MUS,Music,,,MPR7,,,LA,BA,IDP,Individualized Degree Program,,,,,
18,201630,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
19,201630,UG,C,PS,BS,TCM,Technical Communications,,,TCM2,,,LA,BA,ANT,Anthropology,,,,,
29,201630,UG,C,LA,BA,ART,Art,ENT,,,,,PS,BS,IDP,Individualized Degree Program,IND,,,,
40,201630,UG,C,LA,BS,CHE,Chemistry,,,,,,LA,BA,PHI,Philosophy,,,,,
44,201630,UG,C,LA,BS,CHE,Chemistry,MTH,,,,,LA,BA,PHY,Physics,,,,,
49,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,PHI,Philosophy,,,,,
53,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,PHI,Philosophy,,,,,
60,201630,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,PSY,Psychology,,,,,
73,201630,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
81,201630,UG,C,LA,BS,MTR,Meteorology,,,,,,LA,BA,MTH,Mathematics,,,MTA1,,
85,201630,UG,C,LA,BA,PSY,Psychology,ARTS,,,,,LA,BFA,ART,Art,,,AR10,,
86,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,MDL,Modern Languages,,,MDL7,,
87,201630,UG,C,PS,BS,IND,Industrial Design,,,,,,LA,BA,ART,Art,,,,,
88,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,ANT,Anthropology,,,,,
110,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,PSY,Psychology,,,,,
121,201630,UG,C,BU,BS,MGT,Management,,,,,,LA,BA,PSY,Psychology,,,,,
174,201630,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,PSC,Political Science,,,,,
6,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
11,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,AAS,Africana Studies,,,,,
13,201650,UG,C,LA,BS,CSI,Computer Science,MTH,,,,,LA,BA,HIS,History,,,,,
16,201650,UG,C,PS,BS,CJC,Criminal Justice & Criminology,NAS,,,,,LA,BA,WMS,Gndr Women Sexualities Studies,,,,,
22,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
32,201650,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,MDL,Modern Languages,,,MDL7,,
43,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BFA,ART,Art,,,AR11,,
45,201650,UG,C,PS,BS,CET,Civil Engineering Technology,,,,,,LA,BA,MDL,Modern Languages,,,MDL7,,
52,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
56,201650,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,THE,Theatre,,,,,
58,201650,UG,C,PS,BA,JRN,Journalism,,,JRN5,,,PS,BS,TCM,Technical Communications,,,TCM7,,
61,201650,UG,C,LA,BA,MDL,Modern Languages,,,MDL7,,,PS,BS,NUR,Nursing,,,NURS,,
65,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
70,201650,UG,C,LA,BS,BIO,Biology,PSY,,,,,LA,BA,CHE,Chemistry,,,,,
74,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,PSY,Psychology,,,,,
89,201650,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,ANT,Anthropology,,,,,
90,201650,UG,C,PS,BS,CJC,Criminal Justice & Criminology,,,,,,LA,BA,MDL,Modern Languages,,,MDL7,,
91,201650,UG,C,LA,BS,BIO,Biology,,,,,,LA,BA,CHE,Chemistry,,,,,
97,201650,UG,C,LA,BA,CHE,Chemistry,,,,,,LA,BS,BIO,Biology,,,,,
100,201650,UG,C,BU,BS,MKT,Marketing,,,,,,LA,BA,SOC,Sociology,,,,,
101,201650,UG,C,LA,BS,BIO,Biology,ITP,,,,,LA,BA,CHE,Chemistry,,,,,
107,201650,UG,C,PS,BS,HND,Human Nutrition - Dietetics,,,,,,LA,BA,MDL,Modern Languages,,,MDL7,,
108,201650,UG,C,LA,BA,ENG,English,LING,,ENG2,,,LA,BS,CSI,Computer Science,MTH,,,,
