PIDM,TERM_CODE,STUDENT_LEVEL,DEGREE_CODE_1,DEGREE_DESC_1,COLLEGE_CODE_1,COLLEGE_DESC_1,DEPT_CODE_1,DEPT_DESC_1,MAJOR_CODE_1,MAJOR_DESC_1,DEGREE_CODE_2,DEGREE_DESC_2,DEPT_CODE_2,DEPT_DESC_2,COLLEGE_CODE_2,COLLEGE_DESC_2,MAJOR_CODE_2,MAJOR_DESC_2
5909,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
45088,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BA,Bachelor of Arts,PSC,Political Science,LA,College Letters Arts Sciences,PSC,Political Science
103439,202250,GR,MED,Master of Education,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",EDCM,Curriculum and Instruction,TLIC,Teacher Licensure,TEDB,"Spec Ed,ErlyChld Ed,Rdg,Ed Tch",PS,College of Health and Applied Science,LSPL,Licensure-Special Education
119873,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
171042,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,PSY,Psychology,LA,College Letters Arts Sciences,PSY,Psychology
249658,202250,UG,BA,Bachelor of Arts,ED,School of Education,TED1,Elementary Education &Literacy,EDU,Elementary Education,TLIC,Teacher Licensure,TEDA,"Elem,Secondary,Ling Div,K-12",PS,College of Health and Applied Science,LTLG,Licensure-General Teacher Lic
259544,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYO,Psychology,TLIC,Teacher Licensure,ECEL,Early Childhood & Elem Ed,PS,College of Health and Applied Science,LECE,Licensure-Early Childhood Educ
307718,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
320379,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
345782,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,TLIC,Teacher Licensure,EDUC,Teacher Education,PS,College of Health and Applied Science,LK12,Licensure-K-12 Education
348554,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
